qol,police,streets,water_sewer,yrs_lived,housing_exp,age,male,own,race,hhi,zip,long,lat
4,9,9,9,25,0,3,1,1,W,2,27701,78.903,36.018
3,4,4,4,10,0,9,1,1,B,9,27703,78.825,35.95
4,4,2,5,60,9,5,0,0,W,2,27705,78.935,36.038
4,4,2,4,7,0,5,1,1,W,4,27703,78.785,35.933
2,4,1,1,59,0,4,0,1,W,9,27707,78.928,35.963
4,4,4,9,37,0,3,0,1,B,2,27707,78.931,35.953
3,4,2,4,26,1,3,0,0,B,3,27704,78.897,36.068
4,5,2,1,35,1,3,1,0,B,2,27703,78.86,35.975
5,5,3,4,38,0,3,0,1,W,9,27705,78.944,36.049
3,2,4,4,42,0,5,0,1,W,4,27705,78.964,35.978
5,3,2,2,23,0,4,1,1,W,3,27705,78.932,36.016
4,4,2,4,52,0,4,0,0,W,2,27503,78.883,36.162
4,4,1,3,20,1,2,0,0,B,2,27572,78.878,36.219
4,3,3,3,6,0,5,1,1,B,3,27703,78.786,35.928
2,4,4,4,8,1,1,1,0,B,3,27707,78.975,35.959
3,2,4,4,18,0,2,0,1,B,4,27703,78.827,35.993
3,4,3,4,27,1,2,1,0,B,1,27703,78.812,35.999
4,4,4,4,5,1,2,0,1,B,4,27703,78.823,35.986
4,4,2,3,13,9,2,1,1,W,2,27701,78.895,36.007
2,4,4,3,36,0,2,0,1,B,3,27703,78.788,35.967
